type,horse,CO2,CO
Car,255,185.3841327,0.0072278
Car,255,185.3841327,0.0072278
Car,255,185.3841327,0.0072278
Car,255,185.3841327,0.0072278
Car,255,307.19,0.0459
Car,255,307.19,0.0459
Car,255,307.19,0.0459
Car,255,307.19,0.0459
Car,255,196.03,0.0343
Car,255,196.03,0.0343
Car,255,196.03,0.0343
Car,255,196.03,0.0343
Car,300,336.4,0.1247
Car,300,208.04,0.104
Car,300,337.83,0.0755
Car,300,213.33,0.1084
Car,300,362.15,0.2171
Car,300,214.91,0.1519
Car,300,383.59,0.1554
Car,300,215.01,0.2136
Car,300,329.56,0.1692
Car,300,201.25,0.0698
Car,300,216.9896051,0.3011089
Car,300,382.2395438,0.3061176
Car,300,380.8313023,0.3073815
Car,300,222.8229476,0.4423583
Car,300,350.95,0.2366
Car,300,197.76,0.6891
Car,300,363.79,0.3774
Car,300,208.51,1.7891
Car,300,236.1,0.3597
Car,300,366.3,0.1828
Car,300,377.29,0.1132
Car,300,229.05,0.3197
Car,300,380.1,0.243
Car,300,228.87,0.4723
Car,300,366.38,0.237
Car,300,231.72,0.4009
Car,300,353.9,0.1007
Car,300,223.61,0.125
Car,300,355.45,0.1175
Car,300,225.89,0.0777
Car,300,381.27,0.4842
Car,300,220.42,0.5081
Car,300,375.19,0.3706
Car,300,224.14,0.1987
Car,300,333.96,0.2493
Car,300,209.35,0.1991
Car,300,329.17,0.1426
Car,300,213.95,0.0485
Car,300,326.42,0.1612
Car,300,370.99,0.2154
Car,300,216.94,1.8165
Car,300,370.96,0.2047
Car,300,215.64,1.5245
Car,300,385.56,0.215
Car,300,248.61,0.2262
Car,300,410.22,0.5193
Car,300,252.29,0.5296
Car,300,390.88,0.248
Car,300,240.77,0.4708
Car,300,377.1,0.3577
Car,300,240.16,0.3566
Car,443,408.39,0.1358
Car,443,247.13,0.2188
Car,443,442.7450313,0.1486677
Car,443,273.0476202,0.2602637
Car,443,250.1390146,0.2708778
Car,443,403.64,0.1527
Car,443,248.07,0.0892
Car,443,434.73,0.1725
Car,443,248.64,0.1768
Car,448,435.73,0.3596
Car,448,271.77,0.6446
Car,448,274.29,0.7445
Car,448,462.88,0.5061
Car,448,430.37,0.2502
Car,448,270.83,0.3648
Car,448,457.98,0.3357
Car,448,275.02,0.6709
Car,443,254.21,0.1303
Car,443,417.04,0.1013
Car,443,256.38,0.2563
Car,443,446.03,0.1281
Car,443,257.61,0.2427
Car,443,422.01,0.1705
Car,443,452.05,0.2109
Car,443,260.61,0.3492
Car,448,472.5361654,0.5359338
Car,448,285.0767181,0.3247658
Car,448,465.337435,0.3835652
Car,448,493.4245954,0.3858425
Car,448,285.3426618,0.2830489
Car,448,450.9,0.2997
Car,448,280.13,0.5598
Car,448,456.19,0.2885
Car,448,275.08,0.4508
Car,300,340.56,0.1785
Car,300,214.92,0.1316
Car,300,344.27,0.1059
Car,300,218.14,0.1062
Car,300,372.57,0.1486
Car,300,213.82,0.077
Car,300,370.1,0.1069
Car,300,214.35,0.1
Car,300,335.15,0.3593
Car,300,206.87,0.4291
Car,300,333.63,0.1542
Car,300,212.76,0.3254
Car,300,334.8,0.1515
Car,300,360.72,0.1587
Car,300,210.09,0.8156
Car,300,358.06,0.1684
Car,300,206.01,0.8229
Car,300,343.14,0.1086
Car,300,208.96,0
Car,300,341.49,0.1613
Car,300,212.44,0.0526
Car,300,370.78,0.1691
Car,300,214.66,0.0552
Car,300,358.63,0.173
Car,300,209.48,0.2707
Car,300,320.91,0.1627
Car,300,202.77,0.0901
Car,300,329.01,0.1497
Car,300,328.4,0.1917
Car,300,205.5,0.2835
Car,300,327.01,0.1625
Car,300,348.16,0.2244
Car,300,205.27,0.8655
Car,300,349.58,0.1488
Car,300,209.8,0.8498
Car,300,361.19,0.3975
Car,300,223.95,0.4952
Car,300,223.25,0.4726
Car,300,388.42,0.5338
Car,300,227.02,0.692
Car,300,362.9,0.2204
Car,300,232.3,0.6572
Car,300,384.81,0.3495
Car,300,351.28,0.2963
Car,300,219.12,0.5537
Car,300,380.82,0.3347
Car,300,220.46,0.6504
Car,300,364.08,0.2562
Car,300,223.93,0.3191
Car,300,378.52,0.2727
Car,300,220.49,0.3303
Car,300,355,0.175
Car,300,219.51,0.2062
Car,300,385.27,0.346
Car,300,222.02,0.5796
Car,300,217.8994511,0.3809794
Car,300,376.1786993,0.2871428
Car,300,366.58,0.2527
Car,300,211.99,0.5772
Car,448,405.25,0.388
Car,448,252.2,0.7686
Car,448,458.13,0.4194
Car,448,267.9,0.4315
Car,448,257.3810855,0.2251553
Car,448,420.3248942,0.3526382
Car,448,418.7225,0.1693871
Car,448,256.790705,0.1166567
Car,448,419.082543,0.2093332
Car,448,458.96,0.5159
Car,448,263.16,0.8053
Car,448,471.97,0.6002
Car,448,263.96,0.808
Car,448,424.2,0.3272
Car,448,268.78,0.887
Car,448,459.27,0.4906
Car,448,263.96,0.808
Car,255,334.88,0.0517
Car,255,334.88,0.0517
Car,255,334.88,0.0517
Car,255,334.88,0.0517
Car,255,216.13,0.0196
Car,255,216.13,0.0196
Car,255,216.13,0.0196
Car,255,216.13,0.0196
Car,255,360.95,0.0758
Car,255,360.95,0.0758
Car,255,360.95,0.0758
Car,255,360.95,0.0758
Car,255,355.56,0.0441
Car,255,355.56,0.0441
Car,255,355.56,0.0441
Car,255,355.56,0.0441
Car,255,218.81,0.0149
Car,255,218.81,0.0149
Car,255,218.81,0.0149
Car,255,218.81,0.0149
Car,300,219.65,0.3005
Car,300,377.04,0.1072
Car,300,369.8,0.3123
Car,300,226.18,0.4183
Car,300,360.85,0.1917
Car,300,220.29,0.3361
Car,300,375.93,0.1425
Car,300,219.66,0.2909
Car,300,362.85,0.3224
Car,300,228.15,0.2843
Car,300,380.32,0.4889
Car,300,227.06,0.446
Car,448,428.57,0.2987
Car,448,258.54,0.5152
Car,448,442.6,0.3833
Car,448,259.04,0.6508
Car,448,406.45,0.2363
Car,448,251.59,0.3443
Car,448,443.74,0.3118
Car,448,256.94,0.4442
Car,448,259.7,0.5179
Car,448,440.07,0.3705
Car,448,475.09,0.4293
Car,448,274.04,0.7863
Car,448,426.99,0.274
Car,448,255.62,0.2363
Car,448,442.67,0.3427
Car,448,254.62,0.5521
Car,448,430.34,0.2751
Car,448,264.55,0.5996
Car,448,458.5,0.4526
Car,448,267.97,0.7713
Car,448,447.75,0.1944
Car,448,263.54,0.323
Car,448,263.54,0.4233
Car,448,451.23,0.3164
Car,535,574.75,0.0781
Car,535,316.09,0.3641
Car,300,200.3050615,0.385409
Car,300,285.3144899,0.667944
Car,300,262.63,0.3467
Car,300,184.22,0.0766
Car,300,351.06,0.8602
Car,300,391.34,0.3899
Car,300,325.08889,0.8598544
Car,300,308.87385,0.4926467
Car,300,211.76469,0.2464869
Car,300,211.00119,0.2303904
Car,300,326.8325,1.0518937
Car,300,318.3974551,0.4528884
Car,300,327.44,0.1412
Car,300,390.36,0.2726
Car,300,386.75,0.5271
Car,300,205.12,0.0735
Car,300,319.35,0.1847
Car,300,208.07,0.0908
Car,300,310.71,0.2827
Car,300,206.88,0.0678
Car,540,442.29,0.1706
Car,540,278.67,0.1485
Car,540,467.79,0.1807
Car,540,284.22,0.1218
Car,540,492.9,0.331
Car,540,283.56,0.14
Car,11,169.44,0.211
Car,11,227.82,0.5643
Car,11,207.88,1.502
Car,11,202.6,0.3873
Car,11,169.81,0.2743
Car,231,398.92,0.5577
Car,231,296.88,0.9426
Car,231,293.84,1.3919
Car,231,231.2274381,0.7954529
Car,231,192.4388341,0.197433
Both,300,338.64,0.2088
Both,300,205.28,0.1357
Both,300,339.97,0.1501
Both,300,204.35,0.0694
Both,300,339.77,0.2062
Both,300,206.19,0.0649
Both,300,350.88,0.2934
Both,300,206.09,0.1171
Both,300,220.94,0.087
Both,300,351.44,0.2719
Both,300,232.4,0.1434
Both,300,360.86,0.72
Both,300,342.58,0.1598
Both,300,219.52,0.1007
Both,300,366.54,0.2229
Both,300,369.89,0.171
Both,300,241.97,0.0411
Both,300,341.97,0.1934
Both,300,213.08,0.1258
Both,300,346.44,0.1665
Both,300,214.62,0.1298
Both,300,350.08,0.0957
Both,300,217.81,0.1663
Both,300,365.49,0.192
Both,300,218.79,0.1427
Car,425,482.93,0.3121
Car,425,291.06,0.5698
Car,425,412.8,0.2854
Car,425,242.65,0.1192
Car,425,364.59,0.3517
Car,425,229.09,0.0848
Car,425,487.96,0.2883
Car,425,285.75,0.343
Car,425,428.2663595,0.3478783
Car,425,245.2280257,0.0714551
Car,425,236.366618,0.0183504
Car,425,371.4423368,0.2877044
